Date,Store ID,Product ID,Forecasted_Demand,Unit_Cost_Est,h_per_day,p_shortage,K_order,Service_Level_Target
2023-10-31,S001,P0001,65.42166,46.5255,0.03186678082191781,59.81850000000001,80.0,0.95
2023-10-31,S001,P0002,63.019768,46.8265,0.03207294520547945,60.20550000000002,40.0,0.99
2023-10-31,S001,P0003,104.25226,38.5385,0.02639623287671233,49.5495,40.0,0.99
2023-10-31,S001,P0004,87.667854,70.0595,0.04798595890410959,90.07650000000002,80.0,0.99
2023-10-31,S001,P0005,86.31813,41.216,0.02823013698630137,52.992000000000004,50.0,0.99
2023-10-31,S001,P0006,79.35932,26.442500000000003,0.018111301369863015,33.99750000000001,50.0,0.95
2023-10-31,S001,P0007,80.826584,17.066,0.011689041095890411,21.94200000000001,50.0,0.9
2023-10-31,S001,P0008,44.25169,29.203999999999997,0.020002739726027396,37.548,80.0,0.95
2023-10-31,S001,P0009,123.08864,62.538,0.04283424657534246,80.40600000000002,40.0,0.99
2023-10-31,S001,P0010,62.81344,82.859,0.056752739726027394,106.53300000000003,50.0,0.99
2023-10-31,S001,P0011,51.52516,105.588,0.07232054794520547,135.75600000000003,50.0,0.99
2023-10-31,S001,P0012,69.55616,57.364999999999995,0.03929109589041096,73.75500000000002,50.0,0.99
2023-10-31,S001,P0013,91.07928,21.434,0.01468082191780822,27.558,50.0,0.9
2023-10-31,S001,P0014,116.94634,50.57849999999999,0.034642808219178076,65.02950000000001,50.0,0.99
2023-10-31,S001,P0015,38.90222,10.426499999999999,0.007141438356164383,13.405500000000002,50.0,0.9
2023-10-31,S001,P0016,102.68304,26.851999999999997,0.018391780821917805,34.52400000000001,50.0,0.95
2023-10-31,S001,P0017,99.90237,14.7315,0.010090068493150686,18.940500000000004,50.0,0.9
2023-10-31,S001,P0018,100.2146,41.8565,0.028668835616438355,53.815500000000014,50.0,0.99
2023-10-31,S001,P0019,43.528538,73.1675,0.05011472602739726,94.0725,50.0,0.99
2023-10-31,S001,P0020,78.177,77.57399999999998,0.053132876712328754,99.73800000000003,50.0,0.99
2023-10-31,S002,P0001,162.79614,56.479499999999994,0.03868458904109589,72.61650000000003,50.0,0.99
2023-10-31,S002,P0002,105.737045,21.749,0.014896575342465752,27.963000000000005,50.0,0.95
2023-10-31,S002,P0003,76.744606,55.80749999999999,0.038224315068493143,71.75250000000001,50.0,0.99
2023-10-31,S002,P0004,28.570505,28.864499999999996,0.019770205479452053,37.11150000000001,50.0,0.95
2023-10-31,S002,P0005,100.2836,60.38549999999999,0.04135993150684931,77.63850000000002,80.0,0.99
2023-10-31,S002,P0006,108.833015,44.597,0.030545890410958905,57.339,40.0,0.95
2023-10-31,S002,P0007,76.439995,18.245499999999996,0.012496917808219175,23.458500000000004,50.0,0.9
2023-10-31,S002,P0008,101.60782,17.877999999999997,0.012245205479452053,22.986000000000008,50.0,0.95
2023-10-31,S002,P0009,78.618164,42.808499999999995,0.0293208904109589,55.03950000000002,50.0,0.99
2023-10-31,S002,P0010,135.777,61.6805,0.04224691780821918,79.30350000000001,50.0,0.99
2023-10-31,S002,P0011,58.960052,66.1185,0.04528664383561644,85.0095,50.0,0.99
2023-10-31,S002,P0012,55.817574,44.498999999999995,0.03047876712328767,57.213000000000015,80.0,0.95
2023-10-31,S002,P0013,137.2607,15.494499999999997,0.01061267123287671,19.9215,50.0,0.95
2023-10-31,S002,P0014,44.433372,80.255,0.054969178082191775,103.18500000000003,80.0,0.99
2023-10-31,S002,P0015,104.0169,46.2315,0.03166541095890411,59.440500000000014,40.0,0.99
2023-10-31,S002,P0016,158.7102,59.79399999999999,0.04095479452054794,76.87799999999999,40.0,0.99
2023-10-31,S002,P0017,38.839066,13.625499999999999,0.009332534246575342,17.518500000000003,50.0,0.9
2023-10-31,S002,P0018,74.6345,18.648,0.012772602739726028,23.976000000000003,40.0,0.9
2023-10-31,S002,P0019,71.53274,59.524499999999996,0.04077020547945205,76.5315,40.0,0.99
2023-10-31,S002,P0020,58.204952,83.74449999999999,0.05735924657534246,107.67150000000001,50.0,0.99
2023-10-31,S003,P0001,109.76869,10.881499999999999,0.007453082191780821,13.990500000000003,50.0,0.9
2023-10-31,S003,P0002,157.6967,39.388999999999996,0.02697876712328767,50.643,50.0,0.99
2023-10-31,S003,P0003,121.45534,61.3445,0.04201678082191781,78.87150000000003,80.0,0.99
2023-10-31,S003,P0004,104.394295,16.089499999999997,0.011020205479452053,20.686500000000006,50.0,0.9
2023-10-31,S003,P0005,117.56128,14.658,0.01003972602739726,18.846000000000004,50.0,0.9
2023-10-31,S003,P0006,78.391266,25.539499999999997,0.01749280821917808,32.83650000000001,50.0,0.95
2023-10-31,S003,P0007,109.44461,11.360999999999999,0.007781506849315068,14.607000000000005,50.0,0.9
2023-10-31,S003,P0008,115.74504,78.092,0.05348767123287671,100.40400000000001,40.0,0.99
2023-10-31,S003,P0009,120.341354,37.646,0.025784931506849317,48.402,50.0,0.95
2023-10-31,S003,P0010,116.29834,27.1635,0.018605136986301368,34.9245,50.0,0.95
2023-10-31,S003,P0011,133.19054,83.104,0.05692054794520548,106.848,80.0,0.99
2023-10-31,S003,P0012,109.456635,63.888999999999996,0.043759589041095885,82.143,50.0,0.95
2023-10-31,S003,P0013,106.077866,50.651999999999994,0.0346931506849315,65.12400000000002,50.0,0.99
2023-10-31,S003,P0014,68.08519,65.625,0.0449486301369863,84.375,50.0,0.99
2023-10-31,S003,P0015,109.712616,67.35749999999999,0.04613527397260273,86.60250000000002,50.0,0.99
2023-10-31,S003,P0016,125.81132,66.8815,0.045809246575342466,85.9905,80.0,0.99
2023-10-31,S003,P0017,63.75056,79.009,0.054115753424657534,101.58300000000001,50.0,0.99
2023-10-31,S003,P0018,45.48033,87.3635,0.059838013698630135,112.32450000000001,50.0,0.99
2023-10-31,S003,P0019,71.80004,38.549,0.026403424657534248,49.563,50.0,0.95
2023-10-31,S003,P0020,116.729294,50.217999999999996,0.034395890410958904,64.566,40.0,0.99
2023-10-31,S004,P0001,146.45403,7.738499999999999,0.005300342465753424,9.9495,50.0,0.9
2023-10-31,S004,P0002,94.10792,14.0,0.009589041095890411,18.0,50.0,0.9
2023-10-31,S004,P0003,100.98986,90.552,0.06202191780821918,116.42400000000002,50.0,0.99
2023-10-31,S004,P0004,108.31692,37.45349999999999,0.025653082191780814,48.15450000000001,50.0,0.99
2023-10-31,S004,P0005,118.0283,49.4655,0.033880479452054794,63.59850000000002,40.0,0.99
2023-10-31,S004,P0006,139.90204,25.441499999999998,0.017425684931506848,32.7105,50.0,0.95
2023-10-31,S004,P0010,130.78754,17.9305,0.012281164383561643,23.05350000000001,50.0,0.9
2023-10-31,S004,P0015,85.429245,62.986,0.04314109589041096,80.98200000000003,50.0,0.99
2023-10-31,S004,P0016,81.43829,76.776,0.05258630136986301,98.71200000000003,50.0,0.99
2023-10-31,S004,P0017,122.94338,66.22349999999999,0.04535856164383561,85.14450000000001,40.0,0.99
2023-10-31,S004,P0018,43.960163,104.293,0.07143356164383562,134.091,50.0,0.99
2023-10-31,S004,P0019,142.01343,41.1985,0.028218150684931508,52.969500000000004,40.0,0.95
