Date,Store ID,Product ID,SPO_Order_Qty
2023-10-31,S001,P0001,165.0
2023-11-01,S001,P0001,0.0
2023-11-02,S001,P0001,265.0
2023-11-03,S001,P0001,0.0
2023-11-04,S001,P0001,225.0
2023-11-05,S001,P0001,0.0
2023-11-06,S001,P0001,340.0
2023-11-07,S001,P0001,0.0
2023-11-08,S001,P0001,0.0
2023-11-09,S001,P0001,285.0
2023-11-10,S001,P0001,0.0
2023-11-11,S001,P0001,0.0
2023-11-12,S001,P0001,252.0
2023-11-13,S001,P0001,0.0
2023-11-14,S001,P0001,0.0
2023-11-15,S001,P0001,356.0
2023-11-16,S001,P0001,0.0
2023-11-17,S001,P0001,0.0
2023-11-18,S001,P0001,592.0
2023-11-19,S001,P0001,0.0
2023-11-20,S001,P0001,0.0
2023-11-21,S001,P0001,0.0
2023-11-22,S001,P0001,0.0
2023-11-23,S001,P0001,0.0
2023-11-24,S001,P0001,163.0
2023-11-25,S001,P0001,0.0
2023-11-26,S001,P0001,236.0
2023-11-27,S001,P0001,0.0
2023-11-28,S001,P0001,287.0
2023-11-29,S001,P0001,0.0
2023-11-30,S001,P0001,368.0
2023-12-01,S001,P0001,0.0
2023-12-02,S001,P0001,0.0
2023-12-03,S001,P0001,216.0
2023-12-04,S001,P0001,0.0
2023-12-05,S001,P0001,0.0
2023-12-06,S001,P0001,273.0
2023-12-07,S001,P0001,0.0
2023-12-08,S001,P0001,440.0
2023-12-09,S001,P0001,0.0
2023-12-10,S001,P0001,0.0
2023-12-11,S001,P0001,0.0
2023-12-12,S001,P0001,276.0
2023-12-13,S001,P0001,0.0
2023-12-14,S001,P0001,0.0
2023-12-15,S001,P0001,175.0
2023-12-16,S001,P0001,0.0
2023-12-17,S001,P0001,0.0
2023-12-18,S001,P0001,331.0
2023-12-19,S001,P0001,0.0
2023-12-20,S001,P0001,0.0
2023-12-21,S001,P0001,200.0
2023-12-22,S001,P0001,0.0
2023-12-23,S001,P0001,308.0
2023-12-24,S001,P0001,0.0
2023-12-25,S001,P0001,0.0
2023-12-26,S001,P0001,346.0
2023-12-27,S001,P0001,0.0
2023-12-28,S001,P0001,0.0
2023-12-29,S001,P0001,0.0
2023-12-30,S001,P0001,114.0
2023-12-31,S001,P0001,0.0
2024-01-01,S001,P0001,93.0
2024-01-02,S001,P0001,0.0
2024-01-03,S001,P0001,99.0
2024-01-04,S001,P0001,0.0
2024-01-05,S001,P0001,123.0
2024-01-06,S001,P0001,0.0
2024-01-07,S001,P0001,99.0
2024-01-08,S001,P0001,0.0
2024-01-09,S001,P0001,314.0
2024-01-10,S001,P0001,0.0
2024-01-11,S001,P0001,0.0
2024-01-12,S001,P0001,501.0
2024-01-13,S001,P0001,0.0
2024-01-14,S001,P0001,0.0
2024-01-15,S001,P0001,0.0
2024-01-16,S001,P0001,0.0
2024-01-17,S001,P0001,0.0
2024-01-18,S001,P0001,176.0
2024-01-19,S001,P0001,0.0
2024-01-20,S001,P0001,250.0
2024-01-21,S001,P0001,0.0
2024-01-22,S001,P0001,286.0
2024-01-23,S001,P0001,0.0
2024-01-24,S001,P0001,307.0
2024-01-25,S001,P0001,0.0
2024-01-26,S001,P0001,0.0
2024-01-27,S001,P0001,238.0
2024-01-28,S001,P0001,0.0
2024-01-29,S001,P0001,0.0
2024-01-30,S001,P0001,0.0
2023-10-31,S001,P0002,61.0
2023-11-01,S001,P0002,243.0
2023-11-02,S001,P0002,0.0
2023-11-03,S001,P0002,0.0
2023-11-04,S001,P0002,85.0
2023-11-05,S001,P0002,94.0
2023-11-06,S001,P0002,97.0
2023-11-07,S001,P0002,153.0
2023-11-08,S001,P0002,118.0
2023-11-09,S001,P0002,0.0
2023-11-10,S001,P0002,383.0
2023-11-11,S001,P0002,0.0
2023-11-12,S001,P0002,0.0
2023-11-13,S001,P0002,147.0
2023-11-14,S001,P0002,113.0
2023-11-15,S001,P0002,170.0
2023-11-16,S001,P0002,0.0
2023-11-17,S001,P0002,139.0
2023-11-18,S001,P0002,211.0
2023-11-19,S001,P0002,0.0
2023-11-20,S001,P0002,21.0
2023-11-21,S001,P0002,180.0
2023-11-22,S001,P0002,116.0
2023-11-23,S001,P0002,54.0
2023-11-24,S001,P0002,143.0
2023-11-25,S001,P0002,0.0
2023-11-26,S001,P0002,131.0
2023-11-27,S001,P0002,179.0
2023-11-28,S001,P0002,0.0
2023-11-29,S001,P0002,62.0
2023-11-30,S001,P0002,404.0
2023-12-01,S001,P0002,0.0
2023-12-02,S001,P0002,0.0
2023-12-03,S001,P0002,78.0
2023-12-04,S001,P0002,586.0
2023-12-05,S001,P0002,0.0
2023-12-06,S001,P0002,0.0
2023-12-07,S001,P0002,0.0
2023-12-08,S001,P0002,224.0
2023-12-09,S001,P0002,0.0
2023-12-10,S001,P0002,143.0
2023-12-11,S001,P0002,173.0
2023-12-12,S001,P0002,0.0
2023-12-13,S001,P0002,542.0
2023-12-14,S001,P0002,0.0
2023-12-15,S001,P0002,0.0
2023-12-16,S001,P0002,0.0
2023-12-17,S001,P0002,410.0
2023-12-18,S001,P0002,0.0
2023-12-19,S001,P0002,0.0
2023-12-20,S001,P0002,206.0
2023-12-21,S001,P0002,184.0
2023-12-22,S001,P0002,148.0
2023-12-23,S001,P0002,322.0
2023-12-24,S001,P0002,0.0
2023-12-25,S001,P0002,0.0
2023-12-26,S001,P0002,400.0
2023-12-27,S001,P0002,0.0
2023-12-28,S001,P0002,0.0
2023-12-29,S001,P0002,253.0
2023-12-30,S001,P0002,97.0
2023-12-31,S001,P0002,418.0
2024-01-01,S001,P0002,0.0
2024-01-02,S001,P0002,0.0
2024-01-03,S001,P0002,156.0
2024-01-04,S001,P0002,115.0
2024-01-05,S001,P0002,219.0
2024-01-06,S001,P0002,0.0
2024-01-07,S001,P0002,304.0
2024-01-08,S001,P0002,0.0
2024-01-09,S001,P0002,220.0
2024-01-10,S001,P0002,0.0
2024-01-11,S001,P0002,111.0
2024-01-12,S001,P0002,353.0
2024-01-13,S001,P0002,0.0
2024-01-14,S001,P0002,0.0
2024-01-15,S001,P0002,123.0
2024-01-16,S001,P0002,153.0
2024-01-17,S001,P0002,115.0
2024-01-18,S001,P0002,134.0
2024-01-19,S001,P0002,39.0
2024-01-20,S001,P0002,120.0
2024-01-21,S001,P0002,580.0
2024-01-22,S001,P0002,0.0
2024-01-23,S001,P0002,0.0
2024-01-24,S001,P0002,0.0
2024-01-25,S001,P0002,0.0
2024-01-26,S001,P0002,269.0
2024-01-27,S001,P0002,0.0
2024-01-28,S001,P0002,114.0
2024-01-29,S001,P0002,0.0
2024-01-30,S001,P0002,0.0
2023-10-31,S001,P0003,106.0
2023-11-01,S001,P0003,302.0
2023-11-02,S001,P0003,0.0
2023-11-03,S001,P0003,0.0
2023-11-04,S001,P0003,188.0
2023-11-05,S001,P0003,0.0
2023-11-06,S001,P0003,459.0
2023-11-07,S001,P0003,0.0
2023-11-08,S001,P0003,0.0
2023-11-09,S001,P0003,636.0
2023-11-10,S001,P0003,0.0
2023-11-11,S001,P0003,0.0
2023-11-12,S001,P0003,0.0
2023-11-13,S001,P0003,0.0
2023-11-14,S001,P0003,130.0
2023-11-15,S001,P0003,530.0
2023-11-16,S001,P0003,0.0
2023-11-17,S001,P0003,0.0
2023-11-18,S001,P0003,0.0
2023-11-19,S001,P0003,130.0
2023-11-20,S001,P0003,125.0
2023-11-21,S001,P0003,107.0
2023-11-22,S001,P0003,456.0
2023-11-23,S001,P0003,0.0
2023-11-24,S001,P0003,0.0
2023-11-25,S001,P0003,0.0
2023-11-26,S001,P0003,178.0
2023-11-27,S001,P0003,144.0
2023-11-28,S001,P0003,41.0
2023-11-29,S001,P0003,103.0
2023-11-30,S001,P0003,752.0
