Date,Store ID,Product ID,Forecasted_Demand
2023-10-31,S001,P0001,65.42166
2023-10-31,S001,P0002,63.019768
2023-10-31,S001,P0003,104.25226
2023-10-31,S001,P0004,87.667854
2023-10-31,S001,P0005,86.31813
2023-10-31,S001,P0006,79.35932
2023-10-31,S001,P0007,80.826584
2023-10-31,S001,P0008,44.25169
2023-10-31,S001,P0009,123.08864
2023-10-31,S001,P0010,62.81344
2023-10-31,S001,P0011,51.52516
2023-10-31,S001,P0012,69.55616
2023-10-31,S001,P0013,91.07928
2023-10-31,S001,P0014,116.94634
2023-10-31,S001,P0015,38.90222
2023-10-31,S001,P0016,102.68304
2023-10-31,S001,P0017,99.90237
2023-10-31,S001,P0018,100.2146
2023-10-31,S001,P0019,43.528538
2023-10-31,S001,P0020,78.177
2023-10-31,S002,P0001,162.79614
2023-10-31,S002,P0002,105.737045
2023-10-31,S002,P0003,76.744606
2023-10-31,S002,P0004,28.570505
2023-10-31,S002,P0005,100.2836
2023-10-31,S002,P0006,108.833015
2023-10-31,S002,P0007,76.439995
2023-10-31,S002,P0008,101.60782
2023-10-31,S002,P0009,78.618164
2023-10-31,S002,P0010,135.777
2023-10-31,S002,P0011,58.960052
2023-10-31,S002,P0012,55.817574
2023-10-31,S002,P0013,137.2607
2023-10-31,S002,P0014,44.433372
2023-10-31,S002,P0015,104.0169
2023-10-31,S002,P0016,158.7102
2023-10-31,S002,P0017,38.839066
2023-10-31,S002,P0018,74.6345
2023-10-31,S002,P0019,71.53274
2023-10-31,S002,P0020,58.204952
2023-10-31,S003,P0001,109.76869
2023-10-31,S003,P0002,157.6967
2023-10-31,S003,P0003,121.45534
2023-10-31,S003,P0004,104.394295
2023-10-31,S003,P0005,117.56128
2023-10-31,S003,P0006,78.391266
2023-10-31,S003,P0007,109.44461
2023-10-31,S003,P0008,115.74504
2023-10-31,S003,P0009,120.341354
2023-10-31,S003,P0010,116.29834
2023-10-31,S003,P0011,133.19054
2023-10-31,S003,P0012,109.456635
2023-10-31,S003,P0013,106.077866
2023-10-31,S003,P0014,68.08519
2023-10-31,S003,P0015,109.712616
2023-10-31,S003,P0016,125.81132
2023-10-31,S003,P0017,63.75056
2023-10-31,S003,P0018,45.48033
2023-10-31,S003,P0019,71.80004
2023-10-31,S003,P0020,116.729294
2023-10-31,S004,P0001,146.45403
2023-10-31,S004,P0002,94.10792
2023-10-31,S004,P0003,100.98986
2023-10-31,S004,P0004,108.31692
2023-10-31,S004,P0005,118.0283
2023-10-31,S004,P0006,139.90204
2023-10-31,S004,P0010,130.78754
2023-10-31,S004,P0015,85.429245
2023-10-31,S004,P0016,81.43829
2023-10-31,S004,P0017,122.94338
2023-10-31,S004,P0018,43.960163
2023-10-31,S004,P0019,142.01343
2023-10-31,S004,P0020,109.5342
2023-10-31,S005,P0001,120.33615
2023-10-31,S005,P0002,64.54445
2023-10-31,S005,P0003,84.06138
2023-10-31,S005,P0004,144.07101
2023-10-31,S005,P0005,106.09461
2023-10-31,S005,P0006,87.615974
2023-10-31,S005,P0007,40.401184
2023-10-31,S005,P0008,85.08594
2023-10-31,S005,P0009,116.75392
2023-10-31,S005,P0010,201.93187
2023-10-31,S005,P0011,69.95923
2023-10-31,S005,P0012,33.685333
2023-10-31,S005,P0013,135.91515
2023-10-31,S005,P0014,66.73525
2023-10-31,S005,P0015,109.71128
2023-10-31,S005,P0016,72.816414
2023-10-31,S005,P0017,63.020863
2023-10-31,S005,P0018,108.158035
2023-10-31,S005,P0019,58.361244
2023-10-31,S005,P0020,36.0957
2023-11-01,S001,P0001,99.66838
2023-11-01,S001,P0002,87.4227
2023-11-01,S001,P0003,118.07462
2023-11-01,S001,P0004,115.58917
2023-11-01,S001,P0005,143.20004
2023-11-01,S001,P0006,119.3188
2023-11-01,S001,P0007,69.341
2023-11-01,S001,P0008,71.09895
2023-11-01,S001,P0009,73.15701
2023-11-01,S001,P0010,82.90858
2023-11-01,S001,P0011,38.54356
2023-11-01,S001,P0012,164.89267
2023-11-01,S001,P0013,121.82956
