Date,Store ID,Product ID,Actual_Demand,Sales_Qty,Revenue,COGS,Cash_Purchase,OpEx_Holding,OpEx_Order,Cost_Stockout,Daily_Net_Profit,Inventory_Level
2023-10-31,S001,P0001,66,66.0,4397.58,3070.683,7676.7075,6.268057236450265,80.0,0.0,-3365.395557236451,196.695652173913
2023-11-01,S001,P0001,99,99.0,6596.37,4606.0245,0.0,3.113245935080403,0.0,0.0,6593.25675406492,97.695652173913
2023-11-02,S001,P0001,128,128.0,8528.64,5955.264,12329.2575,4.292316825491362,80.0,0.0,-3884.9098168254914,134.695652173913
2023-11-03,S001,P0001,137,134.695652173913,8974.771304347823,6266.78256521739,0.0,0.0,0.0,137.84263043478498,8836.928673913038,0.0
2023-11-04,S001,P0001,120,120.0,7995.599999999999,5583.06,10468.237500000001,4.620683219178082,80.0,0.0,-2557.25818321918,145.0
2023-11-05,S001,P0001,105,105.0,6996.15,4885.1775,0.0,1.274671232876712,0.0,0.0,6994.8753287671225,40.0
2023-11-06,S001,P0001,97,97.0,6463.11,4512.9735,15818.67,5.353619178082191,80.0,0.0,-9440.913619178082,168.0
2023-11-07,S001,P0001,99,99.0,6596.37,4606.0245,0.0,2.1988078767123285,0.0,0.0,6594.171192123287,69.0
2023-11-08,S001,P0001,144,144.0,9594.72,6699.6720000000005,0.0,8.444696917808217,0.0,0.0,9586.275303082191,265.0
2023-11-09,S001,P0001,117,117.0,7795.709999999999,5443.4835,13259.7675,4.716283561643834,80.0,0.0,-5548.773783561644,148.0
2023-11-10,S001,P0001,77,77.0,5130.509999999999,3582.4635000000003,0.0,2.262541438356164,0.0,0.0,5128.247458561643,71.0
2023-11-11,S001,P0001,91,91.0,6063.33,4233.8205,0.0,8.444696917808217,0.0,0.0,6054.885303082192,265.0
2023-11-12,S001,P0001,95,95.0,6329.849999999999,4419.9225,11724.426,5.417352739726026,80.0,0.0,-5479.993352739725,170.0
2023-11-13,S001,P0001,35,35.0,2332.0499999999997,1628.3925,0.0,4.302015410958903,0.0,0.0,2327.7479845890407,135.0
2023-11-14,S001,P0001,122,122.0,8128.86,5676.111,0.0,8.444696917808217,0.0,0.0,8120.415303082192,265.0
2023-11-15,S001,P0001,90,90.0,5996.7,4187.295,16563.078,5.5766866438356155,80.0,0.0,-10651.954686643836,175.0
2023-11-16,S001,P0001,164,164.0,10927.32,7630.182,0.0,0.3505345890410958,0.0,0.0,10926.969465410959,11.0
2023-11-17,S001,P0001,102,102.0,6796.259999999999,4745.601,0.0,8.444696917808217,0.0,0.0,6787.815303082191,265.0
2023-11-18,S001,P0001,106,106.0,7062.78,4931.703,27543.096,5.066818150684931,80.0,0.0,-20565.382818150687,159.0
2023-11-19,S001,P0001,127,127.0,8462.01,5908.7385,0.0,1.0197369863013697,0.0,0.0,8460.990263013698,32.0
2023-11-20,S001,P0001,132,132.0,8795.16,6141.366,0.0,15.678456164383558,0.0,0.0,8779.481543835616,492.0
2023-11-21,S001,P0001,56,56.0,3731.2799999999997,2605.428,0.0,13.893916438356161,0.0,0.0,3717.3860835616438,436.0
2023-11-22,S001,P0001,100,100.0,6663.0,4652.55,0.0,10.707238356164382,0.0,0.0,6652.292761643836,336.0
2023-11-23,S001,P0001,71,71.0,4730.73,3303.3105,0.0,8.444696917808217,0.0,0.0,4722.285303082192,265.0
2023-11-24,S001,P0001,56,56.0,3731.2799999999997,2605.428,7583.6565,6.66015719178082,80.0,0.0,-3939.036657191781,209.0
2023-11-25,S001,P0001,107,107.0,7129.41,4978.2285,0.0,3.2504116438356156,0.0,0.0,7126.159588356164,102.0
2023-11-26,S001,P0001,148,148.0,9861.24,6885.774,10980.018,3.7284133561643826,80.0,0.0,-1202.5064133561646,117.0
2023-11-27,S001,P0001,88,88.0,5863.44,4094.244,0.0,0.9241366438356162,0.0,0.0,5862.515863356164,29.0
2023-11-28,S001,P0001,139,139.0,9261.57,6467.0445,13352.8185,4.015214383561643,80.0,0.0,-4175.263714383562,126.0
2023-11-29,S001,P0001,148,126.0,8395.38,5862.213,0.0,0.0,0.0,1316.007,7079.373,0.0
2023-11-30,S001,P0001,99,99.0,6596.37,4606.0245,17121.384000000002,5.990954794520547,80.0,0.0,-10611.004954794524,188.0
2023-12-01,S001,P0001,109,109.0,7262.669999999999,5071.279500000001,0.0,2.5174756849315063,0.0,0.0,7260.152524315067,79.0
2023-12-02,S001,P0001,160,160.0,10660.8,7444.08,0.0,9.145766095890409,0.0,0.0,10651.654233904108,287.0
2023-12-03,S001,P0001,119,119.0,7928.969999999999,5536.5345,10049.508,5.353619178082191,80.0,0.0,-2205.8916191780827,168.0
2023-12-04,S001,P0001,73,73.0,4863.99,3396.3615,0.0,3.027344178082191,0.0,0.0,4860.962655821918,95.0
2023-12-05,S001,P0001,24,24.0,1599.12,1116.612,0.0,9.145766095890409,0.0,0.0,1589.9742339041095,287.0
2023-12-06,S001,P0001,142,142.0,9461.46,6606.621,12701.4615,4.620683219178082,80.0,0.0,-3324.6221832191786,145.0
2023-12-07,S001,P0001,131,131.0,8728.529999999999,6094.8405,0.0,0.44613493150684924,0.0,0.0,8728.083865068493,14.0
2023-12-08,S001,P0001,147,147.0,9794.609999999999,6839.2485,20471.22,4.461349315068492,80.0,0.0,-10761.07134931507,140.0
2023-12-09,S001,P0001,99,99.0,6596.37,4606.0245,0.0,1.30653801369863,0.0,0.0,6595.063461986301,41.0
2023-12-10,S001,P0001,127,127.0,8462.01,5908.7385,0.0,11.280840410958902,0.0,0.0,8450.729159589042,354.0
2023-12-11,S001,P0001,67,67.0,4464.21,3117.2085,0.0,9.145766095890409,0.0,0.0,4455.06423390411,287.0
2023-12-12,S001,P0001,161,161.0,10727.429999999998,7490.605500000001,12841.038,4.015214383561643,80.0,0.0,-2197.623214383564,126.0
2023-12-13,S001,P0001,40,40.0,2665.2,1861.02,0.0,2.740543150684931,0.0,0.0,2662.459456849315,86.0
2023-12-14,S001,P0001,75,75.0,4997.25,3489.4125,0.0,9.145766095890409,0.0,0.0,4988.10423390411,287.0
2023-12-15,S001,P0001,69,69.0,4597.469999999999,3210.2595,8141.962500000001,6.9469582191780805,80.0,0.0,-3631.43945821918,218.0
2023-12-16,S001,P0001,70,70.0,4664.099999999999,3256.785,0.0,4.716283561643834,0.0,0.0,4659.383716438356,148.0
2023-12-17,S001,P0001,36,36.0,2398.68,1674.9180000000001,0.0,9.145766095890409,0.0,0.0,2389.5342339041094,287.0
2023-12-18,S001,P0001,109,109.0,7262.669999999999,5071.279500000001,15399.9405,5.672286986301369,80.0,0.0,-8222.942786986303,178.0
2023-12-19,S001,P0001,118,118.0,7862.339999999999,5490.009,0.0,1.9120068493150681,0.0,0.0,7860.427993150684,60.0
2023-12-20,S001,P0001,104,104.0,6929.5199999999995,4838.652,0.0,9.145766095890409,0.0,0.0,6920.374233904109,287.0
2023-12-21,S001,P0001,136,136.0,9061.68,6327.468,9305.1,4.811883904109588,80.0,0.0,-328.23188390410905,151.0
2023-12-22,S001,P0001,64,64.0,4264.32,2977.632,0.0,2.7724099315068487,0.0,0.0,4261.547590068493,87.0
2023-12-23,S001,P0001,89,89.0,5930.07,4140.7695,14329.854000000001,6.309622602739725,80.0,0.0,-8486.09362260274,198.0
2023-12-24,S001,P0001,147,147.0,9794.609999999999,6839.2485,0.0,1.6252058219178078,0.0,0.0,9792.98479417808,51.0
2023-12-25,S001,P0001,72,72.0,4797.36,3349.8360000000002,0.0,9.145766095890409,0.0,0.0,4788.214233904109,287.0
2023-12-26,S001,P0001,132,132.0,8795.16,6141.366,16097.823,4.939351027397259,80.0,0.0,-7387.602351027397,155.0
2023-12-27,S001,P0001,51,51.0,3398.1299999999997,2372.8005,0.0,3.3141452054794516,0.0,0.0,3394.8158547945204,104.0
2023-12-28,S001,P0001,73,73.0,4863.99,3396.3615,0.0,12.013776369863011,0.0,0.0,4851.976223630137,377.0
2023-12-29,S001,P0001,90,90.0,5996.7,4187.295,0.0,9.145766095890409,0.0,0.0,5987.554233904109,287.0
2023-12-30,S001,P0001,54,54.0,3598.0199999999995,2512.377,5303.907,7.424959931506848,80.0,0.0,-1793.3119599315078,233.0
