Store ID,Product ID,Total_Days,Total_Revenue,Total_COGS,Total_Purchase_Spend,Total_Holding_Cost,Total_Order_Fixed_Cost,Total_Stockout_Penalty,Total_Net_Profit,Total_Demand,Total_Sales,Avg_Inventory,Gross_Profit,Gross_Margin_%,ROI_%,Service_Level_%
S001,P0001,92,512759.07,358931.3474438623,361130.931,288.87775878875806,6400.0,72217.4960007485,72721.76,8922,7714.723053892216,98.53444740952878,153827.72033308382,30.0,19.77,86.47
S001,P0002,92,703999.27,492799.4923166168,504461.8845,517.2564718147601,3360.0,16379.230735778448,179280.9,10796,10523.944610778442,175.29892931528246,211199.7824214073,30.0,35.27,97.48
S001,P0003,92,615912.89,431139.0264318862,433558.125,298.5440413619675,3480.0,49587.70058757485,128988.53,12188,11187.229041916167,122.93587281957824,184773.86847080843,30.0,29.49,91.79
S001,P0004,92,714596.41,500217.48843562877,492308.1065,341.0590535466731,5600.0,153770.02465419166,62577.22,8847,7139.895209580838,77.25517443374122,214378.92361526954,30.0,12.56,80.7
S001,P0005,92,553591.61,387514.12771257485,388872.95999999996,273.6656103683038,3850.0,64012.67008383233,96582.32,10610,9402.031437125748,105.37059034105702,166077.48330538924,30.0,24.58,88.61
S001,P0006,92,260091.17,182063.8168937126,182083.05500000002,103.68882710606178,3000.0,35926.094708083845,38978.33,7942,6885.27245508982,62.22923717781828,78027.35009730543,30.0,21.05,86.69
S001,P0007,92,230961.01,161672.70716766466,161359.02999999997,193.7886576531866,4000.0,19805.282784431147,45602.91,10376,9473.380239520959,180.20284431137722,69288.30307185632,30.0,27.55,91.3
S001,P0008,92,314616.14,220231.29867065867,221395.52399999998,148.72845480272258,6480.0,47155.22913772456,39436.66,8797,7541.134730538922,80.8196107784431,94384.84228742513,30.0,17.29,85.72
S001,P0009,92,998618.18,699032.7252035928,703489.9619999999,562.6784860347789,3200.0,135425.61102395214,155939.93,12862,11177.72754491018,142.78459385576673,299585.45365868264,30.0,22.05,86.91
S001,P0010,92,703240.42,492268.2959700599,492845.33199999994,237.232569116561,4000.0,129966.43246706593,76191.43,7161,5941.035928143712,45.435954178599324,210972.12684431142,30.0,15.33,82.96
S001,P0011,92,888363.83,621854.6775628743,616211.568,416.6066304815023,3200.0,137460.4694191617,131075.18,6902,5889.444610778443,62.61474876334288,266509.14752694615,30.0,21.15,85.33
S001,P0012,92,730958.55,511670.98190868256,513933.0349999999,388.77898256398106,3500.0,129324.42397455094,83812.31,10673,8919.56736526946,107.55257419942724,219287.56367514975,30.0,16.19,83.57
S001,P0013,92,215380.48,150766.3388712575,149094.904,96.11476968665396,3500.0,25436.570308383234,37252.9,7957,7033.980538922156,71.16262041135121,64614.14523053891,30.0,24.4,88.4
S001,P0014,92,650607.06,455424.9415755987,444483.8579999999,226.44748708986083,3600.0,71706.8030456587,130589.95,10107,9004.31886227545,71.0504100494663,195182.11781811382,30.0,29.13,89.09
S001,P0015,92,107332.52,75132.7658757485,74445.21,48.86642517430835,3000.0,15376.871088323356,14461.58,8353,7205.943113772455,74.37672481124707,32199.756803892218,30.0,18.66,86.27
S001,P0016,92,375361.9,262753.332011976,260598.65999999997,166.54148497252064,3850.0,29406.07541317366,81340.63,10637,9785.24251497006,98.42622363967716,112608.57086227549,30.0,30.74,91.99
S001,P0017,92,154602.56,108221.78909730539,108247.062,81.11970984640242,3150.0,21567.84223203593,21556.53,8485,7346.284431137725,87.3865204373861,46380.766755988036,30.0,19.34,86.58
S001,P0018,92,545947.15,382163.0034805389,385372.79549999995,247.58243352165485,2900.0,69082.18395359283,88344.59,10414,9130.314371257486,93.86894688883103,163784.14434880245,30.0,22.74,87.67
S001,P0019,92,610498.29,427348.8038697605,422615.48000000004,366.20750872569886,3750.0,102191.74538173653,81574.86,6927,5840.691616766467,79.42807862535798,183149.4873727545,30.0,19.12,84.32
S001,P0020,92,615898.41,431128.88561676635,422855.8739999999,259.4977882536294,2450.0,82518.56277844316,107814.47,6385,5557.646706586826,53.08630564957043,184769.5224071857,30.0,25.33,87.04
S002,P0001,92,758426.92,530898.8449850299,530568.423,404.01026573291676,3650.0,91435.04423353297,132369.44,10659,9399.850299401198,113.51848476959125,227528.07642215572,30.0,24.76,88.19
S002,P0002,92,220987.42,154691.19506886226,155635.84399999998,110.72820694364655,2950.0,38097.74562574851,24193.1,8475,7112.565868263473,80.79491017964072,66296.22645808384,30.0,15.24,83.92
S002,P0003,92,680980.75,476686.52832709573,476763.4724999999,402.73023912107243,3600.0,67618.0307223054,132596.52,9484,8541.62125748503,114.52141369435043,204294.2264258982,30.0,27.58,90.06
S002,P0004,92,375162.2,262613.5420329341,264341.09099999996,147.91570524977402,3600.0,59001.729386227555,48071.47,10688,9098.149700598802,81.32335329341318,112548.66087125754,30.0,17.93,85.12
S002,P0005,92,662499.32,463749.5211130239,460862.136,234.40524475278886,6240.0,109950.41171182638,85212.36,9096,7679.815868263473,61.6026913564176,198749.7947627246,30.0,18.23,84.43
S002,P0006,92,647578.1,453304.6709745509,467198.172,468.2053047596587,3240.0,36727.60374700599,139944.12,10805,10164.465568862275,166.6079471491799,194273.4304176647,30.0,29.72,94.07
S002,P0007,92,183711.39,128597.97133907182,127791.48199999996,92.54977866868944,2900.0,29764.095635479047,23163.26,8317,7048.202095808383,80.49791720906013,55113.416288173656,30.0,17.71,84.74
S002,P0008,92,230114.21,161079.9503323353,160472.92799999996,114.31498743540266,3050.0,34112.29071556887,32364.68,10494,9009.95359281437,101.47271218432701,69034.26442814371,30.0,19.78,85.86
S002,P0009,92,588097.06,411667.94025,411689.34449999995,221.97380085616436,3850.0,89907.02325000003,82428.72,11250,9616.5,82.28804347826087,176429.11725,30.0,19.83,85.48
