Date,Store ID,Product ID,Actual_Demand,Forecasted_Demand,Sales_Qty,Missed_Qty,Ordered_Qty,Inventory_Level,Revenue,COGS,Cash_Purchase,OpEx_Holding,OpEx_Order,Cost_Stockout,Daily_Net_Profit
2023-10-31,S001,P0001,66,65.42166,66.0,0.0,0.0,224.93478260869563,4397.58,3070.683,0.0,7.167947416617031,0.0,0.0,4390.412052583383
2023-11-01,S001,P0001,99,99.66838,99.0,0.0,0.0,125.93478260869563,6596.37,4606.0245,0.0,4.013136115247169,0.0,0.0,6592.356863884753
2023-11-02,S001,P0001,128,129.33675,125.93478260869563,2.0652173913043725,0.0,0.0,8391.03456521739,5859.178728260868,0.0,0.0,0.0,123.53820652174062,8267.49635869565
2023-11-03,S001,P0001,137,138.62871,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8195.1345,-8195.1345
2023-11-04,S001,P0001,120,114.43854,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7178.220000000001,-7178.220000000001
2023-11-05,S001,P0001,105,105.03947,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.942500000001,-6280.942500000001
2023-11-06,S001,P0001,97,98.6881,0.0,97.0,768.859388,0.0,0.0,0.0,35771.567456394,0.0,80.0,5802.3945,-41653.961956394
2023-11-07,S001,P0001,99,98.88112,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5922.031500000001,-5922.031500000001
2023-11-08,S001,P0001,144,144.56386,144.0,0.0,0.0,624.859388,9594.72,6699.6720000000005,0.0,19.912257161913693,0.0,0.0,9574.807742838086
2023-11-09,S001,P0001,117,116.04449,117.0,0.0,0.0,507.85938799999997,7795.709999999999,5443.4835,0.0,16.183843805749312,0.0,0.0,7779.52615619425
2023-11-10,S001,P0001,77,77.46209,77.0,0.0,0.0,430.85938799999997,5130.509999999999,3582.4635000000003,0.0,13.73010168246164,0.0,0.0,5116.779898317538
2023-11-11,S001,P0001,91,90.27155,91.0,0.0,0.0,339.85938799999997,6063.33,4233.8205,0.0,10.83022462766712,0.0,0.0,6052.499775372333
2023-11-12,S001,P0001,95,97.96293,95.0,0.0,0.0,244.85938799999997,6329.849999999999,4419.9225,0.0,7.802880449584929,0.0,0.0,6322.047119550414
2023-11-13,S001,P0001,35,36.317303,35.0,0.0,0.0,209.85938799999997,2332.0499999999997,1628.3925,0.0,6.687543120817806,0.0,0.0,2325.362456879182
2023-11-14,S001,P0001,122,118.048325,122.0,0.0,921.539606,87.85938799999997,8128.86,5676.111,42875.090938953006,2.799795860543834,80.0,0.0,-34829.03073481355
2023-11-15,S001,P0001,90,88.18884,87.85938799999997,2.140612000000033,0.0,0.0,5854.071022439997,4087.7019563939984,0.0,0.0,0.0,128.04819892200197,5726.022823517996
2023-11-16,S001,P0001,164,164.20192,164.0,0.0,0.0,757.539606,10927.32,7630.182,0.0,24.14034858832397,0.0,0.0,10903.179651411676
2023-11-17,S001,P0001,102,101.55013,102.0,0.0,0.0,655.539606,6796.259999999999,4745.601,0.0,20.889936944488355,0.0,0.0,6775.370063055511
2023-11-18,S001,P0001,106,104.35035,106.0,0.0,0.0,549.539606,7062.78,4931.703,0.0,17.512058177365066,0.0,0.0,7045.267941822634
2023-11-19,S001,P0001,127,126.300934,127.0,0.0,0.0,422.53960600000005,8462.01,5908.7385,0.0,13.464977012981505,0.0,0.0,8448.545022987018
2023-11-20,S001,P0001,132,133.27591,132.0,0.0,0.0,290.53960600000005,8795.16,6141.366,0.0,9.258561944488356,0.0,0.0,8785.90143805551
2023-11-21,S001,P0001,56,58.766895,56.0,0.0,0.0,234.53960600000005,3731.2799999999997,2605.428,0.0,7.474022218460959,0.0,0.0,3723.805977781539
2023-11-22,S001,P0001,100,105.66216,100.0,0.0,0.0,134.53960600000005,6663.0,4652.55,0.0,4.287344136269179,0.0,0.0,6658.712655863731
2023-11-23,S001,P0001,71,73.61455,71.0,0.0,734.15882,63.53960600000005,4730.73,3303.3105,34157.10617991,2.0248026979130147,80.0,0.0,-29508.40098260791
2023-11-24,S001,P0001,56,53.816757,56.0,0.0,0.0,7.539606000000049,3731.2799999999997,2605.428,0.0,0.24026297188561796,0.0,0.0,3731.039737028114
2023-11-25,S001,P0001,107,109.46002,107.0,0.0,0.0,634.698426,7129.41,4978.2285,0.0,20.225795629358217,0.0,0.0,7109.184204370642
2023-11-26,S001,P0001,148,149.70651,148.0,0.0,0.0,486.69842600000004,9861.24,6885.774,0.0,15.509512067714383,0.0,0.0,9845.730487932286
2023-11-27,S001,P0001,88,90.97012,88.0,0.0,0.0,398.69842600000004,5863.44,4094.244,0.0,12.705235355385616,0.0,0.0,5850.734764644614
2023-11-28,S001,P0001,139,139.07413,139.0,0.0,0.0,259.69842600000004,9261.57,6467.0445,0.0,8.27575282113904,0.0,0.0,9253.294247178861
